textid	target	model	tokenizer	predicted	prob
1	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9782097935676575
2	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9856862425804138
3	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9720293879508972
10	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9785918593406677
11	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9647762775421143
12	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9822414517402649
13	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9852814078330994
15	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9749948382377625
16	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.8858246803283691
26	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9896470904350281
27	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9714899659156799
33	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9831663370132446
34	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.96833336353302
35	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.958572268486023
39	1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Positive	0.9553102254867554
45	0	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	/home/jparedeslarios/MidtermRep/robertaClassifiers/roberta1	Negative	0.9708560705184937
