textid	target	text	condition														
1	1	The sailors rode the breeze clear of the rocks.	1														
2	1	The weights made the rope stretch over the pulley.	1														
3	1	The mechanical doll wriggled itself loose.	1														
10	1	"The higher the stakes, the lower his expectations are."	1														
11	1	"The more Fred is obnoxious, the less attention you should pay to him."	1														
12	1	John was lots more obnoxious than Fred.	1														
13	1	"The more people you give beer to, the more people get sick."	1														
15	1	"The more pictures of him that appear in the news, the more embarrassed John becomes."	1														
16	1	"Every senator seems to become more corrupt, as he talks to more lobbyists."	1														
26	1	John tried to be a good boy.	1														
27	1	John is eager.	1														
33	0	What the water did to the bottle was fill it.	1														
34	0	What the water did to the whole bottle was fill it.	1														
35	1	The tank leaked the fluid free.	1														
39	1	"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder."	1														
45	0	They represented seriously to the dean Mary as a genuine linguist.	1														
47	1	It is nice to go abroad.	1														
59	0	"This is the book which Bob reviewed, and this is the one which Fred won't do it."	1														
62	1	I'm sure I would like him to eat fruit more than I would cookies.	1														
69	0	Which report that John was incompetent did he submit?	1														
73	1	Mary saw the boy walking toward the railroad station.	1														
76	0	The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.	1														
77	0	I want that Bill left to remain a secret.	1														
79	0	"Drowning cats, which is against the law, are hard to rescue."	1														
83	0	The proof this set is recursive is difficult.	1														
84	0	The madrigals which Henry plays the lute and sings sound lousy.	1														
87	0	Which boy's did we elect guardian's employer president?	1														
88	1	How sane is Peter?	1														
106	0	Here's a knife with which for you to cut up the onions.	1														
108	1	Maxwell is quite a doctor.	1														
109	0	"The younger woman might have been tall and, and the older one definitely was, blond."	1														
110	1	"Sally is tall, and may be blond, and Sheila is short, and definitely is, blond."	1														
112	0	The socks are ready for for you to put on to be planned.	1														
114	1	This violin is difficult to play sonatas on.	1														
115	0	My mother is easy to please my father and.	1														
117	0	"That the cops spoke to the janitor about it yesterday is terrible, that robbery."	1														
118	0	"Every student, and he wears socks, is a swinger."	1														
126	1	That you will marry any student is not certain.	1														
144	1	We pulled free.	1														
149	1	That acorn will grow into an oak tree.	1														
150	1	He turned into a frog.	1														
157	1	The earth was believed to be round.	1														
180	0	Michelle kept the desk with the papers.	1														
